sample_id,formula,working_ion,anion_family,target
mp-770088,Li3VSiCO7,Li,phosphate_or_polyanion,324.9012718733654
mp-1235332,LiHo2Cu(SiO3)4,Li,phosphate_or_polyanion,180.72911865998356
mp-672958,LiSb(PO3)4,Li,phosphate_or_polyanion,159.52532146606453
mp-863882,Li4FeCo3(PO4)4,Li,phosphate_or_polyanion,602.209518092266
mp-1046693,CaTi4O6,Ca,oxide,193.3963886058395
mp-1048386,BaYCr4O7,other,oxide,686.0452411485409
mp-765267,Li3Fe(BO3)2,Li,phosphate_or_polyanion,266.6512188398167
mp-752482,LiV3F10,Li,halide,115.3107075986034
mp-1401965,YWO3,other,oxide,932.9599088386852
mp-756268,Li2FeNi(PO4)2,Li,phosphate_or_polyanion,303.550359944477
mp-1392855,CaMn4O8,Ca,oxide,112.521110723671
mp-1347979,Ca2MoWO6,Ca,oxide,698.8592024927581
mp-757133,Li2VCu(PO4)2,Li,phosphate_or_polyanion,298.86765124024583
mp-760212,Li3Ti2V3O12,Li,oxide,86.50436177423167
mp-1443123,LiV4O5F7,Li,halide,213.21072274736835
mp-759184,Li3VF5,Li,halide,103.902709909862
mp-766385,Li5V12O32,Li,oxide,19.486836027069323
mp-763910,Li4MnFe3O8,Li,oxide,292.6741231046872
mp-1042696,ZnCrBiO5,Zn,oxide,102.31263969574132
mp-771545,Li4Mn5CoO12,Li,oxide,756.8693968555117
mvc-14082,Al2(CuS2)3,Al,sulfide,618.0655207707497
mp-22592,CaTi4(CuO4)3,Ca,oxide,428.7849423090604
mp-850367,Li4Mn5Sn(PO4)6,Li,phosphate_or_polyanion,359.7630843834562
mp-4541,NaCuO2,Na,oxide,920.5041396460786
mp-765538,Li3Co2NiO6,Li,oxide,885.6956149150593
mp-770053,LiCoPHO5,Li,phosphate_or_polyanion,539.0768623113825
mp-1044778,PrZn(MoO3)2,Zn,oxide,337.33062154713116
mp-757097,LiFePO4,Li,phosphate_or_polyanion,61.998676474753275
mp-578604,NaCrO2,Na,oxide,259.28158163372063
mp-1094199,Mg5Sn,Mg,other,1921.6217202138428
mp-771037,Li3MnBAsO7,Li,phosphate_or_polyanion,75.7126215302877
mp-766384,Li3Fe4(PO4)6,Li,phosphate_or_polyanion,49.949492975508925
mp-1235662,LiY2(FeO2)4,Li,oxide,116.17873069420077
mvc-4746,Ti2ZnO4,Zn,oxide,1131.7787050509314
mp-28699,Li4V3O8,Li,oxide,382.8039474855442
mp-1287570,CaMn2O4,Ca,oxide,245.98475933904257
mvc-12608,CaMn4O8,Ca,oxide,300.0561971830387
mp-765208,LiVF4,Li,halide,547.9310393702341
mp-772134,Li2Cr3Ni(SO4)6,Li,sulfide,96.98993153808684
mvc-3731,CaCrF5,Ca,halide,870.2007241137532
mp-1176588,LiNiO2,Li,oxide,105.7749328829164
mp-38676,Li11(NiO2)12,Li,oxide,35.74085696160765
mp-772240,Li2MnH4(SO5)2,Li,sulfide,114.80135395319138
mp-761603,LiV(SiO3)2,Li,phosphate_or_polyanion,399.16603116833215
mp-1343472,Mg(NiO2)2,Mg,oxide,174.14864497565523
mp-767661,Li2VF5,Li,halide,106.6887747261089
mp-754850,NaTiS2,Na,sulfide,595.2357153721041
mp-753058,Li5TiV3O8,Li,oxide,528.8428250062929
mp-1013735,Ca3Bi2,Ca,other,1306.8124261264395
mp-1221025,NaTi3O6,Na,oxide,16.54359117278634
mp-778709,Li2FePHO5,Li,phosphate_or_polyanion,439.98353064263387
mp-11227,Al12W,Al,other,7332.71861237705
mp-1077177,Mg2Ni,Mg,other,3082.8840014743087
mp-767023,Li2VNiO4,Li,oxide,304.8302307879012
mvc-3775,AlCrO3,Al,oxide,2613.881597680894
mp-1232361,CsIn(Cu3O4)2,other,oxide,214.95201437126696
mp-763355,Li4V5(P3O11)2,Li,phosphate_or_polyanion,394.4994035263391
mp-1345463,AlCrO3,Al,oxide,698.9556731908195
mp-765985,Li5Ti12O24,Li,oxide,29.47921851949582
mp-868491,LiV3(OF3)2,Li,halide,325.46777065406053
mp-26617,Li3Cr(PO4)2,Li,phosphate_or_polyanion,158.41346517887405
mp-773278,K3CoPCO7,K,phosphate_or_polyanion,236.21070328596556
mp-1047668,Mg(NiO2)2,Mg,oxide,344.2687830206466
mp-831160,LiFePO4,Li,phosphate_or_polyanion,150.8156114656726
mp-26125,Li2Fe(PO3)4,Li,phosphate_or_polyanion,49.23464691039898
mp-761137,Li10Ti3Mn5O16,Li,oxide,803.2508153875548
mp-1094724,Mg3Sb,Mg,other,1924.1879360526789
mp-781593,Li4Co5Te3O16,Li,oxide,545.3309282508303
