sample_id,formula,working_ion,anion_family,target
mp-1041381,ZnCr4O9,Zn,oxide,1.3057091475000042
mp-753150,Li3Mn3CoO8,Li,oxide,3.317510293333332
mp-756412,Li4V3Cr3(WO8)2,Li,oxide,3.0443636783333305
mp-770353,LiCr2(SO4)3,Li,sulfide,2.0064134533333275
mp-756692,Li3Cr(FeO3)2,Li,oxide,4.012742606666667
mp-763543,LiP3W2O13,Li,phosphate_or_polyanion,3.302164795000015
mp-756595,Li4Mn5SnO12,Li,oxide,3.180586703333337
mp-1213469,CsZr6MnCl14,other,halide,2.6815095129310498
mvc-4363,Al2Si3(WO4)3,Al,phosphate_or_polyanion,-0.1046862258333343
mp-1101544,Li2Cr5(PO4)4,Li,phosphate_or_polyanion,2.324694427500011
mp-1044676,CaTi2O4,Ca,oxide,1.364633511249998
mp-759197,Li8FeNi9O20,Li,oxide,3.9131750533333234
mp-17479,NaVP2O7,Na,phosphate_or_polyanion,3.6073974240517295
mp-1040822,CaCr3(P2O7)2,Ca,phosphate_or_polyanion,2.6405257874999988
mp-1518948,NaNdNb4O12,Na,oxide,3.3715314965517145
mp-1185599,Mg149Ni,Mg,other,0.0136546732885906
mp-849944,LiV4OF11,Li,halide,2.675178059999998
mp-1390919,Mg(CoS2)2,Mg,sulfide,1.434327914999998
mp-763632,Li4Ti3V3O12,Li,oxide,2.4092852800000144
mp-768862,Li5Fe2P2(CO7)2,Li,phosphate_or_polyanion,3.823076070833328
mp-19755,Li(TiS2)3,Li,sulfide,1.979547823333321
mp-1003316,KMn4O8,K,oxide,2.534706682999989
mp-776294,NaNiPO4,Na,phosphate_or_polyanion,4.375457411551725
mp-997530,Li2FeCu(PO4)2,Li,phosphate_or_polyanion,3.7089623100000018
mp-1045890,Zn2Co9O13,Zn,oxide,1.8087634425000023
mp-1178101,Li10Sc9Fe(SiO3)20,Li,phosphate_or_polyanion,5.074549343333354
mp-1046772,Sr2YGaW2O7,other,oxide,1.0121879616666691
mp-540026,Li2FeP2O7,Li,phosphate_or_polyanion,4.463954980000002
mp-1340542,CaW5O7,Ca,oxide,1.7041013874999988
